# Tarifario Odontológico Estructurado para CRM

## ODONTOLOGÍA GENERAL

| Servicio                                 |   Precio |
| Urgencia endodóntica                           | $125.000 |

---

## ORTODONCIA GENERAL

| Servicio                               |   Precio |
| -------------------------------------- | -------: |
| Minimplante                            | $322.600 |
| Placa para levantar mordida            | $295.700 |
| Reparación bracket autoligado metálico |  $75.000 |
| Reparación bracket metálico            |  $25.000 |
| Retenedor estético                     | $177.000 |
| Retenedor fijo                         | $271.000 |
| Retenedor Hawley                       | $210.000 |
| Retiro brackets                        | $153.700 |
| Tope oclusal                           |  $86.000 |

---

# PLANES DE ORTODONCIA

| Plan                           | Valor Total |  1ra Cuota |  2da Cuota | Controles | Valor Control | Reparaciones | Incluye                                                   |
| ------------------------------ | ----------: | ---------: | ---------: | --------: | ------------: | -----------: | --------------------------------------------------------- |
| Ortodoncia autoligado metálico |  $2.780.000 |   $450.000 |   $350.000 |        18 |      $118.000 |      $75.000 | 1 radiografía, 1 kit de higiene y 2 retenedores estéticos |
| Ortodoncia autoligado cerámico |  $4.180.000 | $1.100.000 | $1.100.000 |        18 |      $118.000 |     $150.000 | 1 radiografía, 1 kit de higiene y 2 retenedores estéticos |
| Ortodoncia zafiro              |  $3.418.000 |   $499.000 |   $499.000 |        22 |      $118.000 |      $80.000 | 1 radiografía, 1 kit de higiene y 2 retenedores estéticos |
| Ortodoncia Roth Mini           |  $1.950.000 |   $180.000 |   $119.900 |        22 |       $79.900 |      $25.000 | 1 radiografía, 1 kit de higiene y 2 retenedores estéticos |
| Ortodoncia Roth Eco            |  $1.960.000 |          - |          - |        24 |       $79.900 |            - |                                                           |
